Salinity (psu),Temperature (°C),Initial Polyps,End Polyps,Net Increase,Ammonia Nitrogen (mg/L),Oxygen Consumption,pH,Phosphate (mg/L),Nitrate (mg/L),Turbidity (NTU),Dissolved Oxygen (mg/L),Chlorophyll-a concentration (mg/m³),Biological Oxygen Demand (BOD) (mg/L),Sea Surface Temperature (SST) (°C),Total Suspended Solids (TSS) (mg/L),Water Current Speed (m/s),Quality_Index,Suitability,Predicted_Suitability,Cluster,Cluster_Label
34,34,8.23045061731254,30.702896747135306,25.02985018012636,0.0665647471981215,1.762952293531417,7.837912967564709,0.051453413526599,0.3946607500899152,9.514081831292192,5.744136245485114,1.6001316265269871,2.4533889338593777,30.73489719700519,34.73842852829378,0.3502950735571625,7.574459632117112,0,0,0,Near Suitable
26,24,5.746188889750881,16.907527621315438,5.273858994710961,0.0295611715123231,2.827441875687731,7.838700455211937,0.1436240387807203,0.2012829926569429,7.2565214602635635,7.958999789561942,2.618668764987634,3.171608525910477,25.99121802929092,61.140503409999525,0.336641573841572,26.414856348595148,0,0,0,Near Suitable
38,23,5.635998813437248,11.336914703460376,21.10028852372578,0.0647750101066205,2.8632197285946948,8.383513497380198,0.1366691348399394,0.1995715950858375,7.858433537755727,6.008800202467652,1.954331456512056,2.7334224808715253,27.630090799437053,45.858265186551726,0.3524303043391675,18.818136157813967,0,0,0,Near Suitable
30,18,9.32330196070209,22.46926560057717,28.59719071089013,0.0720551768649331,0.7940636309873399,8.126417979176745,0.1482578922992204,0.3361523860815443,4.8432432540986845,6.042069781743876,1.397776000490386,2.1064891083748045,26.97499490105197,98.00736704307717,0.4492310451621528,29.63564466482856,0,0,0,Near Suitable
31,26,6.961968607642373,28.627257706531243,11.943686137106752,0.0328116939831053,0.5714274972011038,8.10680345387768,0.0969978434657794,0.4385740705229227,8.581090172457763,6.982935181209841,2.415634147227032,3.346357602217957,28.71802734359709,58.35500618936032,0.3880054868562367,17.059397206295124,1,0,0,Near Suitable
31,24,8.293460731037218,15.409238062683343,18.27967895629657,0.0732894746804733,2.0736259318026296,8.284066885503789,0.0729806341422665,0.3819182399701182,6.267159132054436,6.080008179122322,2.6199949412600523,1.774533701520855,26.842347529260625,98.02307699971163,0.180014809201309,25.56516355226179,0,0,0,Near Suitable
29,34,5.382084297190257,35.918847422050305,16.648004579520627,0.0765977803385374,0.3771214014791721,7.987627977084875,0.1249599441120762,0.2114271812822638,2.2790424465602213,5.656590962236008,0.5642787992065893,3.45646061784979,29.880537625660125,76.2396839497463,0.2855179664214423,23.203022409340285,0,0,0,Near Suitable
35,30,6.396838569673582,24.440001296069944,21.591317453643835,0.0195914637025424,2.704624689978292,8.15288622403776,0.0937347572432594,0.4086355457871256,5.282153106653735,6.770037925316916,1.213933242606931,1.8253555143283555,26.45179102480396,94.28349232153676,0.4719032741219823,28.615353975909738,0,0,0,Near Suitable
34,25,6.265292164003923,30.230469370704068,17.69623465202936,0.0229444208227001,2.9414302526047207,8.05567342258349,0.1132472202411477,0.4247925962742841,9.247913205193615,6.248477861356818,0.9852355243912848,1.4827492206478912,26.509804197369096,97.20713172897962,0.0652412712163811,18.422320888826693,1,0,0,Near Suitable
24,34,7.250622162098798,29.7734129340858,4.764641792714643,0.0407053250172238,2.74655457796102,8.267003537440536,0.0899598511620868,0.1064432874197348,7.270933335376176,7.530373073219988,2.223085272485806,3.7653994571046496,30.73534236821433,94.86599092620573,0.169163179418203,20.084834751280702,0,0,0,Near Suitable
