Salinity (psu),Temperature (°C),Initial Polyps,End Polyps,Net Increase,Ammonia Nitrogen (mg/L),Oxygen Consumption,pH,Phosphate (mg/L),Nitrate (mg/L),Turbidity (NTU),Dissolved Oxygen (mg/L),Chlorophyll-a concentration (mg/m³),Biological Oxygen Demand (BOD) (mg/L),Sea Surface Temperature (SST) (°C),Total Suspended Solids (TSS) (mg/L),Water Current Speed (m/s),Quality_Index,Suitability,Predicted_Suitability
26,24,6.857042838250704,11.818867781994046,18.90631577401469,0.047447667138661,0.7314712440186637,8.349100282784732,0.1102669960944505,0.3958431876000549,2.559134495103581,6.994534025761116,0.345418867008262,3.669447189967232,25.6706374905082,78.5337117697088,0.2325722382765287,33.30919054896108,0,0
34,34,8.23045061731254,30.702896747135306,25.02985018012636,0.0665647471981215,1.762952293531417,7.837912967564709,0.051453413526599,0.3946607500899152,9.514081831292192,5.744136245485114,1.6001316265269871,2.4533889338593777,30.73489719700519,34.73842852829378,0.3502950735571625,7.574459632117112,0,0
30,28,7.496669174893091,37.91820414539611,6.853605483307864,0.032450716712197,0.385200272611618,8.158912499963117,0.0580949702022356,0.145425816391015,2.015455314332041,8.738147926564814,0.3157531106786507,3.92078106464622,30.421528744487286,70.98518579883502,0.1808714352799374,41.29905841540635,0,0
27,29,6.330096390026903,24.91937338506917,15.60288800955368,0.0493700561882544,1.4028961861742846,8.161095809179828,0.1077171626623996,0.4224046841953938,7.806168375662219,8.907337060720756,2.4680692787419107,2.1945840543469664,31.56389486335864,13.458978768922282,0.4432019913224662,31.656151589016712,0,0
26,24,5.746188889750881,16.907527621315438,5.273858994710961,0.0295611715123231,2.827441875687731,7.838700455211937,0.1436240387807203,0.2012829926569429,7.2565214602635635,7.958999789561942,2.618668764987634,3.171608525910477,25.99121802929092,61.140503409999525,0.336641573841572,26.414856348595148,0,0
38,23,5.635998813437248,11.336914703460376,21.10028852372578,0.0647750101066205,2.8632197285946948,8.383513497380198,0.1366691348399394,0.1995715950858375,7.858433537755727,6.008800202467652,1.954331456512056,2.7334224808715253,27.630090799437053,45.858265186551726,0.3524303043391675,18.818136157813967,0,0
30,18,9.32330196070209,22.46926560057717,28.59719071089013,0.0720551768649331,0.7940636309873399,8.126417979176745,0.1482578922992204,0.3361523860815443,4.8432432540986845,6.042069781743876,1.397776000490386,2.1064891083748045,26.97499490105197,98.00736704307717,0.4492310451621528,29.63564466482856,0,0
23,28,8.258553239554843,32.83264918071627,22.54872766247116,0.0704045675457692,1.4748211659127872,8.112069248701436,0.1287930938437766,0.1105190906738674,2.357655451350896,5.470398466394807,2.1493827175448583,2.035006580807278,28.418482341968403,59.7040977205241,0.3318830119202807,30.193855445785236,0,0
27,34,9.05342963993133,20.6280329452314,19.702668224300105,0.0286952505219432,2.639486869999707,8.166439067786772,0.134040033148934,0.2044114661173797,8.04344880497622,8.793237521721466,2.6897868784493077,2.23717225489212,25.187935540909663,74.11263970985372,0.3748976206025124,28.986486465867777,0,0
22,24,8.07040655592368,38.47213588944532,18.34094103622679,0.0474262646152866,0.8871495064005543,7.958579851664253,0.1148031657330861,0.3152270202939291,4.136575530792702,5.899251598040738,2.8719988730867403,1.646350007032273,29.955750847868774,53.6084633013082,0.2324306284840829,29.67106067098796,0,0
21,34,9.297826158234727,38.869306089633525,12.923366571273498,0.0701133000887092,0.1107369798140088,7.972344808784904,0.0838749904214507,0.4630465544900909,5.814702198864572,8.998542501701776,1.591530703933643,4.291922501257162,27.72088668478622,30.211175734907627,0.0508915367115187,27.16338804843914,0,0
31,26,6.961968607642373,28.627257706531243,11.943686137106752,0.0328116939831053,0.5714274972011038,8.10680345387768,0.0969978434657794,0.4385740705229227,8.581090172457763,6.982935181209841,2.4156341472270317,3.346357602217957,28.71802734359709,58.35500618936032,0.3880054868562367,17.059397206295124,1,0
